Date,Actual,ARIMA-Total,SARIMAX-Total,LightGBM-Total,ARIMA-Zone,SARIMAX-Zone,LightGBM-Zone,ARIMA-Type,SARIMAX-Type,LightGBM-Type,LSTM-Type,Transformer-Type,Transformer-Zone,LSTM-Total,Transformer-Total,LSTM-Zone
2019-07-09,7236.993166666669,8191.111968264087,7586.100952407274,7714.810571304464,7809.024694402779,7407.340553246396,7556.699900950316,7809.024694402779,7421.233229710459,7086.373449466726,7670.876403808594,7571.018249511719,6752.568176269531,7227.22412109,7300.73779297,7241.60961914
2019-07-10,7030.40766666667,7664.262546570815,7520.44165510946,6808.060930766288,7745.065333027952,7399.115969537612,7519.435165521062,7745.065333027952,7686.45851973061,7282.057022273959,7670.876403808594,7290.6995849609375,6372.4580078125,7036.89257812,7300.73779297,7086.04626465
2019-07-11,7201.048166666665,7392.164060780175,7654.641573751382,7318.31513205896,7554.510437874893,7423.564470135307,7262.59519376585,7554.510437874893,7152.863766803356,7336.975017625269,7670.876647949219,6807.705810546875,6477.419860839844,7201.921875,7300.73779297,7190.78686523
2019-07-12,7749.877854366986,7416.851021736133,7327.090242396747,8072.336707021782,7538.1550314828655,7285.176932183592,7450.926048054216,7538.1550314828655,7348.190357680321,7361.605637705154,7315.293701171875,7450.363525390625,6940.4046630859375,7740.12109375,7300.73779297,7765.31390381
2019-07-13,4104.5202694332975,4017.115909795159,3780.4241385227833,4028.592552184008,3666.001511552571,3701.278882856612,3495.2547925994395,3666.001511552571,3339.39201261706,4201.41767179157,2886.711700439453,4362.4571533203125,3635.1650390625,4084.64892578,3457.04443359,4137.42158508
2019-07-14,2665.500333333332,3318.712641360594,3725.555350538648,3249.130760031488,3248.7921102174423,3463.7396199848936,2813.5645325474857,3248.7921102174423,3381.984661336965,3276.230220492269,2886.711334228516,2631.6253356933594,2382.887634277344,2658.14013672,3457.04443359,2622.38614011
2019-07-15,8167.094166666663,6424.355227911281,7134.972650095167,7352.77605755252,6599.93708139491,7378.306722384968,8027.711028019403,6599.93708139491,7291.737180475593,6990.114761309695,7315.293701171875,7481.29052734375,8121.089050292969,8249.1953125,8232.26074219,8134.63049316
2019-07-16,2012.737333333333,7777.012263128001,3311.413193481744,4047.319717339969,7846.555860639139,3468.083333081763,4530.934918820937,7846.555860639139,2916.5205109243498,5006.087128260555,2886.711700439453,3120.9390258789062,1739.8744506835938,2037.71813965,2901.39501953,1975.98123121
2019-07-17,2143.000333333334,7597.998331297851,3339.8727334038017,3746.820646640943,7493.43897713136,3563.2536963684965,3912.23449868268,7493.43897713136,3536.5019081581736,4077.837368186639,2886.711456298828,3149.7808837890625,1858.908966064453,2157.74755859,2901.39501953,2133.7872467
2019-07-18,8357.90866666667,7699.969359804526,7058.518556563917,7531.299485492725,7549.235867643185,7485.314032597844,7191.755196115162,7549.235867643185,6999.983132308513,7090.432322075549,7315.293701171875,7502.611511230469,8498.741638183594,8434.20507812,8232.26074219,8337.58355713
2019-07-19,8336.781666666673,7444.204815568887,7477.963001702425,7485.544021088644,7341.139706260034,7613.775496349735,7290.097404668263,7341.139706260034,7295.364112148737,6826.681331372458,8227.569213867188,8211.610534667969,8079.200988769531,8414.01074219,8232.26074219,8365.89593506
2019-07-20,4477.253666666667,3725.184735318361,3746.675926889568,3824.853695040535,3968.813651095135,3399.797407359402,3681.179284703893,3968.813651095135,3748.1767177238753,4200.075830605232,3457.5899353027344,4480.212524414063,4043.852478027344,4474.02441406,2901.39501953,4455.72262573
2019-07-21,3193.021833333333,3071.266878121225,3344.2392545818584,4115.02261214953,3268.662275971128,3174.0486968972705,3166.8802300565685,3268.662275971128,3249.207894681232,3273.29293075649,3457.5899353027344,2881.38037109375,2835.1747131347656,3203.30029297,2901.39501953,3238.05183411
2019-07-22,8464.800166666664,6471.869812780949,7686.078718565021,8519.172586370822,6715.735965923928,7519.12434230512,7904.156434428511,6715.735965923928,7491.072004698113,7637.295807869916,8227.569091796875,8265.833068847656,7831.1796875,8466.92089844,7777.86962891,8443.95874023
